dataset	method	from	to	weight	from_name	to_name	asso_est	asso_type	edge_betw	name_from_sorted	name_to_sorted	edge_name
ST115_FMBN_ps	sparcc	1	6	1	Lactobacillus complex	Secundilactobacillus	1	copres	1.5	Lactobacillus complex	Secundilactobacillus	Lactobacillus complex--Secundilactobacillus
ST115_FMBN_ps	sparcc	3	6	0.8948691925212098	Lactococcus	Secundilactobacillus	0.9778950266377151	copres	1.5	Lactococcus	Secundilactobacillus	Lactococcus--Secundilactobacillus
ST115_FMBN_ps	sparcc	4	6	0.9235618298046617	Loigolactobacillus	Secundilactobacillus	0.988314412274377	copres	1	Loigolactobacillus	Secundilactobacillus	Loigolactobacillus--Secundilactobacillus
ST115_FMBN_ps	sparcc	5	6	0.7312308623123378	Paucilactobacillus	Secundilactobacillus	0.8555263012532609	copres	1.5	Paucilactobacillus	Secundilactobacillus	Paucilactobacillus--Secundilactobacillus
ST115_FMBN_ps	sparcc	1	7	1	Lactobacillus complex	Staphylococcus	1	copres	1.25	Lactobacillus complex	Staphylococcus	Lactobacillus complex--Staphylococcus
ST115_FMBN_ps	sparcc	2	7	1	Lactobacillus	Staphylococcus	1	copres	2	Lactobacillus	Staphylococcus	Lactobacillus--Staphylococcus
ST115_FMBN_ps	sparcc	3	7	1	Lactococcus	Staphylococcus	1	copres	2	Lactococcus	Staphylococcus	Lactococcus--Staphylococcus
ST115_FMBN_ps	sparcc	4	7	0.5265217582446022	Loigolactobacillus	Staphylococcus	0.5516367091684341	copres	1.25	Loigolactobacillus	Staphylococcus	Loigolactobacillus--Staphylococcus
ST115_FMBN_ps	sparcc	5	7	0.6798440310542658	Paucilactobacillus	Staphylococcus	0.7950003110968362	copres	1.25	Paucilactobacillus	Staphylococcus	Paucilactobacillus--Staphylococcus
ST115_FMBN_ps	sparcc	6	7	0.5713153102632433	Secundilactobacillus	Staphylococcus	0.6324588735706014	copres	1.25	Secundilactobacillus	Staphylococcus	Secundilactobacillus--Staphylococcus
ST115_FMBN_ps	sparcc	1	8	0.8695619613300761	Lactobacillus complex	Streptococcus	0.9659718361358869	copres	1.25	Lactobacillus complex	Streptococcus	Lactobacillus complex--Streptococcus
ST115_FMBN_ps	sparcc	2	8	1	Lactobacillus	Streptococcus	1	copres	2	Lactobacillus	Streptococcus	Lactobacillus--Streptococcus
ST115_FMBN_ps	sparcc	3	8	1	Lactococcus	Streptococcus	1	copres	2	Lactococcus	Streptococcus	Lactococcus--Streptococcus
